node_id,lat,lon
1333698791,16.0755069,108.2198211
1333698794,16.0735162,108.2182382
1333698799,16.0549577,108.2364358
1333698802,16.0634672,108.2316532
1333698804,16.0861896,108.2164521
1333698806,16.0672575,108.2400079
1333698807,16.0826109,108.2160894
1333698809,16.0643586,108.2305958
1333698811,16.0722248,108.2442985
1333698812,16.0807547,108.2324657
1333698813,16.0591874,108.2400586
1333698815,16.0715487,108.2403051
1333698816,16.0760758,108.2177219
1333698817,16.0563807,108.2414241
1333698818,16.0792803,108.2430866
1333698820,16.0655855,108.2324027
1333698822,16.0721922,108.2430299
1333698828,16.0649846,108.2326223
1333698831,16.0709969,108.2430687
1333698835,16.0567011,108.2425105
1333698836,16.0735632,108.2402422
1333698842,16.0653379,108.2404806
1333698848,16.0690147,108.2352154
1333698855,16.0638501,108.2315865
1333698860,16.0654544,108.2320391
1333698861,16.0576519,108.2376211
1333698866,16.0656303,108.2395504
1333698872,16.073589,108.2410791
1333698877,16.0797311,108.2464192
1333698885,16.0715623,108.2411505
1333698886,16.0559507,108.2398824
1333698894,16.041976,108.2412054
1333698895,16.0862734,108.2167252
1333698897,16.0838762,108.2179741
1333698903,16.0700809,108.2430878
1333698904,16.0814746,108.2156722
1333698910,16.0827808,108.2201183
1333698915,16.0631801,108.2354082
1333698916,16.0703534,108.2378769
1333698917,16.0679084,108.2322016
1333698918,16.0556153,108.2387656
1333698920,16.0687308,108.239985
1333698923,16.0607133,108.2385134
1333698926,16.0850509,108.2201779
1333698927,16.0538552,108.2378398
1333698928,16.0867709,108.2165937
1333698930,16.0819345,108.215786
1333698932,16.0649821,108.2305109
1333698937,16.0613557,108.2397914
1333698946,16.0660199,108.2322334
1333698949,16.0721329,108.2411282
1333698951,16.0644986,108.243255
1333698960,16.0709658,108.2411467
1333698967,16.0565294,108.2419554
1333698970,16.0688871,108.2375655
1333698972,16.0680798,108.2324884
1333698973,16.0855654,108.218019
1333698978,16.0701669,108.2358777
1333698980,16.0702693,108.2411583
1333698984,16.0835324,108.2335728
1333698985,16.0553467,108.237798
1333698992,16.0702158,108.2453335
1333698994,16.0577811,108.2380916
1333698995,16.0722147,108.2436805
1333699004,16.0575115,108.2371314
1333699005,16.0729694,108.2410907
1333699009,16.0646321,108.2314756
1333699010,16.0775181,108.2454483
1333699017,16.0725302,108.2306073
1333699018,16.0715311,108.2397059
1333699029,16.0860272,108.2399585
1333699034,16.0804989,108.2320733
1333699040,16.0823202,108.2169279
1333699042,16.0630028,108.2346602
1333699044,16.0736511,108.2429858
1333699049,16.0558059,108.2394047
1333699051,16.0687677,108.2412483
1333699065,16.0783442,108.2457343
1333699068,16.0795154,108.2108993
1333699069,16.0841777,108.2196867
1333699070,16.0586999,108.241294
1333699071,16.0979997,108.2458708
1333699072,16.0638721,108.2329652
1333699073,16.0553057,108.242927
1333699078,16.0833419,108.2165173
1333699085,16.0676598,108.2323377
1333699086,16.0799805,108.2457751
1333699091,16.0720064,108.2288908
1333699097,16.0581073,108.2392177
1333699105,16.0647803,108.2365245
1333699119,16.0389423,108.2427314
1333699120,16.0583956,108.2401646
1333699136,16.0817147,108.2152101
1333699137,16.0715378,108.2398811
1333699144,16.0622211,108.233543
1333699147,16.0934352,108.2438509
1333699148,16.0697332,108.2356292
